product_id,reporting_date,country_code,units,price,sales,cogs,discounts,refunds,advertising_fees,returns,sde,fees
18,2022-01-09,de,27,29.915185185,807.71,-154.44,-12.29,,-106.1,1.0,283.86,-251.02
8,2022-01-09,de,3,21.583333333000002,64.75,-16.71,-0.84,,-11.79,,20.56,-14.85
3,2022-01-09,fr,1,45.83,45.83,-16.12,0.0,,-1.98,,13.63,-14.1
32,2022-01-09,fr,3,24.99,74.97,-13.74,0.0,,-5.95,,16.31,-38.97
7,2022-01-09,de,2,21.0,42.0,-10.36,0.0,-23.39,-7.86,,-9.51,-9.9
22,2022-01-09,us,7,27.371428571,191.6,-33.85,-6.69,-23.24,-20.49,,38.59,-68.74
43,2022-01-10,de,9,17.391111111,156.52,-53.82,-4.47,-17.59,-35.55,,-11.73,-56.82
7,2022-01-10,de,3,22.52,67.56,-15.54,-3.83,-23.39,-11.85,1.0,0.2,-17.93
5,2022-01-10,de,5,21.605999999999998,108.03,-27.35,-1.92,-18.71,-19.75,,10.62,-29.68
34,2022-01-10,it,4,8.19,32.76,-8.36,0.0,,-9.34,,7.26,-7.800000000000001
33,2022-01-10,de,4,8.3925,33.57,-3.52,0.0,-9.35,-15.8,,-4.43,-9.33
4,2022-01-10,de,16,21.025625,336.41,-88.48,0.0,-46.78,-63.19,4.0,65.54,-94.54
10,2022-01-10,de,3,13.69,41.07,-9.21,0.0,,-11.85,,3.38,-16.63
20,2022-01-10,fr,1,24.99,24.99,-5.86,0.0,,-2.48,,6.17,-10.48
36,2022-01-10,de,3,15.96,47.88,-6.66,0.0,,-11.85,,11.08,-18.29
6,2022-01-10,de,2,21.0,42.0,-9.9,0.0,,-7.9,1.0,17.33,-11.82
0,2022-01-10,de,2,46.21,92.42,-32.76,0.0,-41.13,-7.9,,24.48,13.850000000000001
11,2022-01-10,de,7,15.404285714,107.83,-13.58,-1.67,,-27.65,,23.47,-41.46
42,2022-01-10,de,4,26.1975,104.79,-27.8,-3.35,-26.39,-15.8,,-1.41,-32.86
41,2022-01-10,de,10,25.798000000000002,257.98,-69.5,-5.03,,-39.5,,60.59,-83.36
34,2022-01-10,fr,8,9.45125,75.61,-16.72,-7.48,,-19.87,,6.02,-25.52
15,2022-01-10,us,4,49.54,198.16,-55.81,-21.68,,-22.44,,53.82,-44.41
8,2022-01-10,es,1,16.52,16.52,-5.57,0.0,,-0.23,,2.57,-8.15
40,2022-01-10,de,6,25.83,154.98,-41.7,-3.35,-26.39,-23.7,,9.81,-50.03
18,2022-01-10,it,1,24.58,24.58,-5.72,0.0,,-2.34,,6.65,-9.870000000000001
3,2022-01-10,fr,3,45.83,137.49,-48.36,0.0,,-7.45,,39.38,-42.3
18,2022-01-10,fr,1,24.99,24.99,-5.72,0.0,,-2.48,,6.31,-10.48
22,2022-01-10,de,3,30.543333333000003,91.63,-14.01,-2.66,-60.04,-11.85,,-27.0,-30.07
32,2022-01-10,fr,4,26.2375,104.95,-18.32,-4.16,,-9.94,,20.57,-51.96
11,2022-01-10,fr,2,17.41,34.82,-3.88,0.0,,-4.97,,11.95,-14.02
20,2022-01-10,us,11,26.468181818,291.15,-70.19,0.0,,-61.71,,57.5,-101.75
21,2022-01-10,us,14,30.944285714,433.22,-58.69,-0.88,-27.17,-78.53,,156.99,-110.96000000000001
1,2022-01-10,de,2,46.21,92.42,-30.54,0.0,-48.63,-7.9,,-23.36,-28.71
18,2022-01-10,de,31,29.773870968,922.99,-177.32,-10.14,-153.95,-122.44,1.0,136.33,-328.53
34,2022-01-10,us,7,11.464285714,80.25,-18.04,0.0,,-39.27,,-5.79,-28.73
3,2022-01-10,de,3,46.21,138.63,-48.36,0.0,,-11.85,,35.35,-43.07
2,2022-01-10,de,1,50.2,50.2,-17.25,-3.35,,-3.95,,52.91,27.260000000000005
32,2022-01-10,de,53,21.320188679,1129.97,-242.74,-15.5,-39.29,-209.33,5.0,176.89,-459.96000000000004
17,2022-01-10,us,48,31.150625,1495.23,-255.45,-12.93,-206.23,-269.26,6.0,293.65,-463.03
20,2022-01-10,de,5,29.4,147.0,-29.3,0.0,-30.79,-19.75,,14.26,-52.900000000000006
18,2022-01-10,us,22,26.468181818,582.3,-135.33,0.0,,-123.41,,125.9,-197.66000000000003
8,2022-01-10,de,6,21.636666666999997,129.82,-33.42,-3.35,,-23.7,,33.73,-35.62
8,2022-01-10,nl,1,16.52,16.52,-5.57,0.0,,-0.42,,6.12,-4.41
25,2022-01-10,de,30,24.028666667,720.86,-220.8,-11.56,-73.89,-118.49,2.0,58.65,-237.47
14,2022-01-10,us,4,45.17,180.68,-58.67,-4.2,,-22.44,,50.96,-44.41
12,2022-01-10,de,3,25.13,75.39,-10.59,0.0,,-11.85,,28.45,-24.5
37,2022-01-10,de,14,21.184285714,296.58,-98.84,-1.68,-43.98,-55.29,3.0,8.21,-102.7
34,2022-01-10,de,70,8.598714286,601.91,-146.3,-18.02,-17.58,-276.47,,-68.21,-211.75
38,2022-01-10,de,9,42.01,378.09,-109.89,0.0,,-35.55,1.0,124.33,-108.32
19,2022-01-10,fr,1,50.82,50.82,-14.64,-4.16,,-2.48,,15.44,-14.1
26,2022-01-10,us,33,31.117272727,1026.87,-193.1,-7.78,-207.88,-185.12,,114.65,-318.34000000000003
30,2022-01-10,us,2,21.825,43.65,-14.33,-1.31,-19.14,-11.22,,-13.86,-11.51
32,2022-01-10,it,1,24.58,24.58,-4.58,0.0,,-2.34,,4.71,-12.950000000000001
24,2022-01-10,de,51,34.305490196,1749.58,-564.57,-17.57,-175.95,-201.43,5.0,271.26,-518.8
9,2022-01-10,de,5,7.606,38.03,-7.35,0.0,-15.82,-19.75,,-23.12,-18.23
22,2022-01-10,us,7,27.942857143,195.6,-33.92,-10.32,-23.29,-39.27,,30.42,-58.379999999999995
13,2022-01-10,us,6,45.435,272.61,-97.59,-7.89,,-33.66,,68.44,-65.03
